0.0,8.8737,0.5022,0.4978
0.0,7.6412,0.6501,0.3499
0.0,6.4916,0.7574,0.2426
0.0,7.7396,0.6441,0.3559
0.0,8.937,0.5014,0.4986
0.0,11.1351,0.7666,0.2334
0.0,13.284,0.6505,0.3495
0.0,8.9451,0.5057,0.4943
0.0,8.901,0.5124,0.4876
0.0,8.8713,0.5071,0.4929
0.0,8.9117,0.5074,0.4926
0.0,8.9857,0.4991,0.5009
0.0,8.9055,0.5131,0.4869
0.0,8.9366,0.5164,0.4836
0.0,8.9625,0.5023,0.4977
0.0,8.8594,0.5106,0.4894
0.0,9.0079,0.5011,0.4989
0.0,8.9065,0.507,0.493
0.0,9.6517,0.4427,0.5573
0.0,9.1498,0.4958,0.5042
0.0,9.1623,0.4944,0.5056
0.0,9.1378,0.4885,0.5115
0.0,9.1524,0.4908,0.5092
0.0,9.0593,0.4985,0.5015
0.0,10.6511,0.5006,0.4994
0.0,10.5837,0.4951,0.5049
0.0,10.604,0.5,0.5
0.0,8.8793,0.5176,0.4824
0.0,8.2671,0.4346,0.5654
0.0,8.7865,0.4907,0.5093
0.0,8.7661,0.4948,0.5052
0.0,8.7634,0.4964,0.5036
0.0,8.8505,0.498,0.502
0.0,9.0826,0.519,0.481
0.0,9.0345,0.5163,0.4837
0.0,9.1319,0.5143,0.4857
0.0,9.0785,0.5223,0.4777
0.0,9.1281,0.5179,0.4821
0.0,9.0654,0.5153,0.4847
0.0,8.8276,0.4842,0.5158
0.0,8.8768,0.4865,0.5135
0.0,8.8601,0.499,0.501
0.0,8.8129,0.488,0.512
0.0,8.8509,0.4904,0.5096
0.0,8.7931,0.4943,0.5057
0.0,8.8013,0.4859,0.5141
0.0,10.2959,0.4953,0.5047
0.0,10.2715,0.4918,0.5082
0.0,10.2034,0.4956,0.5044
0.0,8.988,0.5059,0.4941
0.0,8.955,0.5074,0.4926
0.0,8.9878,0.5008,0.4992
0.0,8.9732,0.5073,0.4927
0.0,8.9577,0.501,0.499
0.0,8.9759,0.5058,0.4942
0.0,8.9688,0.5139,0.4861
0.0,5.6922,0.5044,0.4956
0.0,5.6858,0.5129,0.4871
0.0,5.6808,0.5128,0.4872
0.0,5.7332,0.5061,0.4939
0.0,5.7003,0.5077,0.4923
0.0,5.7202,0.5173,0.4827
